COMPONENT_ID,COMPONENT_TYPE,AIRCRAFT_ID,INSTALL_DATE,FIRST_ALERT_DATE,DAYS_TO_FAILURE,MONTHS_TO_FAILURE,CENSORED
CMP-0167,vibration_sensor,AC-007,2021-08-15,2024-01-03,871,29,0
CMP-0199,temperature_probe,AC-004,2022-05-22,2024-01-05,593,20,0
CMP-0131,oil_pressure_valve,AC-035,2023-02-11,2024-01-06,329,11,0
CMP-0009,hydraulic_pump,AC-047,2020-04-28,2024-01-09,1351,45,0
CMP-0093,vibration_sensor,AC-015,2021-01-22,2024-01-11,1084,36,0
CMP-0091,oil_pressure_valve,AC-020,2023-09-09,2024-01-26,139,4,0
CMP-0119,hydraulic_pump,AC-033,2021-12-22,2024-01-10,749,25,0
CMP-0041,hydraulic_pump,AC-017,2023-03-17,2024-01-06,295,10,0
CMP-0140,temperature_probe,AC-002,2021-01-03,2024-01-03,1095,36,0
CMP-0044,fuel_sensor,AC-006,2023-12-09,2024-01-12,34,1,0
CMP-0179,vibration_sensor,AC-040,2023-08-10,2024-01-02,145,5,0
CMP-0130,oil_pressure_valve,AC-011,2020-10-15,2024-01-21,1193,39,0
CMP-0156,vibration_sensor,AC-013,2020-10-26,2024-01-16,1177,39,0
CMP-0095,vibration_sensor,AC-047,2023-06-23,2024-01-04,195,7,0
CMP-0118,fuel_sensor,AC-018,2021-04-17,2024-01-01,989,33,0
CMP-0053,vibration_sensor,AC-018,2020-07-31,2024-01-03,1251,42,0
CMP-0073,temperature_probe,AC-018,2022-02-11,2024-01-04,692,23,0
CMP-0162,oil_pressure_valve,AC-002,2021-10-02,2024-01-03,823,27,0
CMP-0016,oil_pressure_valve,AC-021,2022-12-09,2024-01-03,390,13,0
CMP-0105,fuel_sensor,AC-000,2021-03-21,2024-01-01,1016,34,0
CMP-0186,temperature_probe,AC-036,2021-10-01,2024-01-01,822,27,0
CMP-0059,fuel_sensor,AC-036,2022-08-02,2024-01-16,532,17,0
CMP-0152,oil_pressure_valve,AC-019,2023-03-13,2024-01-15,308,10,0
CMP-0100,oil_pressure_valve,AC-017,2023-09-23,2024-01-15,114,4,0
CMP-0102,oil_pressure_valve,AC-022,2023-07-01,2024-01-01,184,6,0
CMP-0101,oil_pressure_valve,AC-002,2019-10-22,2024-01-07,1538,51,0
CMP-0000,fuel_sensor,AC-005,2023-04-02,2024-01-29,302,9,0
CMP-0086,vibration_sensor,AC-006,2022-06-16,2024-01-11,574,19,0
CMP-0075,oil_pressure_valve,AC-028,2023-08-05,2024-01-16,164,5,0
CMP-0002,hydraulic_pump,AC-043,2023-12-08,2024-01-05,28,1,0
CMP-0184,hydraulic_pump,AC-008,2022-07-19,2024-01-04,534,18,0
CMP-0097,fuel_sensor,AC-043,2023-10-08,2024-01-01,85,3,0
CMP-0109,vibration_sensor,AC-018,2020-07-17,2024-01-01,1263,42,0
CMP-0004,hydraulic_pump,AC-006,2022-02-07,2024-01-12,704,23,0
CMP-0153,vibration_sensor,AC-035,2021-04-19,2024-01-02,988,33,0
CMP-0014,oil_pressure_valve,AC-004,2022-09-26,2024-01-13,474,16,0
CMP-0197,vibration_sensor,AC-013,2023-02-10,2024-01-09,333,11,0
