DATE,HEALTH_RATIO,AIRCRAFT_WITH_ALERTS,FLEET_AVG_SEVERITY,TOTAL_COMPONENTS_MONITORED,date
2024-01-01,0.68,19,28.884615,100,2024-01-01
2024-01-02,0.782178,21,25.924138,101,2024-01-02
2024-01-03,0.677083,20,29.477612,96,2024-01-03
2024-01-04,0.773585,16,25.238095,106,2024-01-04
2024-01-05,0.693069,22,28.086667,101,2024-01-05
2024-01-06,0.666667,15,28.829268,93,2024-01-06
2024-01-07,0.695238,19,26.459459,105,2024-01-07
2024-01-08,0.652632,15,28.03125,95,2024-01-08
2024-01-09,0.736364,18,26.979452,110,2024-01-09
2024-01-10,0.707547,17,26.052239,106,2024-01-10
2024-01-11,0.688889,15,27.022556,90,2024-01-11
2024-01-12,0.694737,12,27.125,95,2024-01-12
2024-01-13,0.773585,18,24.475177,106,2024-01-13
2024-01-14,0.686047,12,28.45283,86,2024-01-14
2024-01-15,0.683673,20,30.637037,98,2024-01-15
2024-01-16,0.728155,17,27.006944,103,2024-01-16
2024-01-17,0.698925,18,27.195489,93,2024-01-17
2024-01-18,0.756522,20,28.539877,115,2024-01-18
2024-01-19,0.734043,18,26.93985,94,2024-01-19
2024-01-20,0.68932,15,23.160584,103,2024-01-20
2024-01-21,0.76,18,27.513699,100,2024-01-21
2024-01-22,0.64,13,30.244275,100,2024-01-22
2024-01-23,0.688889,17,27.982906,90,2024-01-23
2024-01-24,0.666667,10,25.882353,99,2024-01-24
2024-01-25,0.69,14,28.248,100,2024-01-25
2024-01-26,0.711538,14,24.743243,104,2024-01-26
2024-01-27,0.74,13,26.6,100,2024-01-27
2024-01-28,0.683544,14,26.627273,79,2024-01-28
2024-01-29,0.660194,19,30.007692,103,2024-01-29
2024-01-30,0.731959,14,25.40146,97,2024-01-30
2024-01-31,0.700935,21,27.129252,107,2024-01-31
2024-02-01,0.717391,16,26.645669,92,2024-02-01
2024-02-02,0.663636,20,28.58,110,2024-02-02
2024-02-03,0.72549,14,25.100775,102,2024-02-03
2024-02-04,0.716981,20,28.352113,106,2024-02-04
2024-02-05,0.660377,18,30.013514,106,2024-02-05
2024-02-06,0.638095,19,30.462585,105,2024-02-06
2024-02-07,0.679612,19,28.797297,103,2024-02-07
2024-02-08,0.657143,17,27.586667,105,2024-02-08
2024-02-09,0.728155,17,27.390728,103,2024-02-09
2024-02-10,0.678161,15,26.708333,87,2024-02-10
2024-02-11,0.688073,21,28.628205,109,2024-02-11
2024-02-12,0.729167,15,27.0,96,2024-02-12
2024-02-13,0.72,17,26.824818,100,2024-02-13
2024-02-14,0.653061,16,28.820144,98,2024-02-14
2024-02-15,0.694444,17,27.920863,108,2024-02-15
2024-02-16,0.770833,15,24.666667,96,2024-02-16
2024-02-17,0.68,22,27.918519,100,2024-02-17
2024-02-18,0.625,19,29.178862,96,2024-02-18
2024-02-19,0.638095,28,33.914474,105,2024-02-19
2024-02-20,0.653061,19,28.813433,98,2024-02-20
2024-02-21,0.737374,20,26.493151,99,2024-02-21
2024-02-22,0.705882,16,25.708333,102,2024-02-22
2024-02-23,0.761905,18,27.496855,105,2024-02-23
2024-02-24,0.712963,19,26.949045,108,2024-02-24
2024-02-25,0.752475,16,25.410596,101,2024-02-25
2024-02-26,0.623762,25,30.854167,101,2024-02-26
2024-02-27,0.657407,20,30.214765,108,2024-02-27
2024-02-28,0.735294,18,27.729927,102,2024-02-28
2024-02-29,0.672897,21,30.589041,107,2024-02-29
2024-03-01,0.605769,16,27.617647,104,2024-03-01
2024-03-02,0.780952,16,25.621429,105,2024-03-02
2024-03-03,0.69697,14,24.76087,99,2024-03-03
2024-03-04,0.690722,19,27.962121,97,2024-03-04
2024-03-05,0.718447,18,25.605839,103,2024-03-05
2024-03-06,0.693878,17,25.875,98,2024-03-06
2024-03-07,0.691489,15,26.180451,94,2024-03-07
2024-03-08,0.683168,17,28.539007,101,2024-03-08
2024-03-09,0.730769,19,28.087838,104,2024-03-09
2024-03-10,0.647059,19,28.703704,102,2024-03-10
2024-03-11,0.704348,17,27.933775,115,2024-03-11
2024-03-12,0.733333,18,25.964029,105,2024-03-12
2024-03-13,0.714286,17,28.1,98,2024-03-13
2024-03-14,0.69697,21,29.421053,99,2024-03-14
2024-03-15,0.673469,17,27.944882,98,2024-03-15
2024-03-16,0.666667,16,32.030075,93,2024-03-16
2024-03-17,0.701149,18,29.572581,87,2024-03-17
2024-03-18,0.74,18,26.885135,100,2024-03-18
2024-03-19,0.658824,17,28.403226,85,2024-03-19
