COMPONENT_ID,AIRCRAFT_ID,COMPONENT_TYPE,MODEL,OPERATOR,MAINTENANCE_PROTOCOL,MAX_SEVERITY,AVG_SEVERITY,CRITICAL_COUNT,WARNING_COUNT
CMP-0040,AC-036,temperature_probe,A350-900,UPS,standard,99,24.556485,8,21
CMP-0107,AC-005,hydraulic_pump,A320neo,Atlas Air,predictive_v2,99,33.594142,24,36
CMP-0027,AC-029,temperature_probe,B787-9,United,standard,99,31.696356,24,35
CMP-0065,AC-029,vibration_sensor,B787-9,United,standard,100,27.581395,10,28
CMP-0098,AC-041,fuel_sensor,A350-900,UPS,standard,98,28.296875,12,30
CMP-0048,AC-024,hydraulic_pump,B737-800,FedEx,standard,99,28.804878,10,35
CMP-0104,AC-030,hydraulic_pump,A350-900,Delta,predictive_v2,96,28.609375,9,41
CMP-0051,AC-012,vibration_sensor,B737-800,Southwest,standard,99,28.445783,8,38
CMP-0157,AC-048,vibration_sensor,A320neo,United,predictive_v2,96,24.797619,10,22
CMP-0006,AC-016,fuel_sensor,B787-9,FedEx,standard,95,23.594262,8,20
CMP-0129,AC-032,oil_pressure_valve,B787-9,American,standard,96,27.14,8,30
CMP-0058,AC-030,hydraulic_pump,A350-900,Delta,predictive_v2,98,39.298643,26,49
CMP-0019,AC-048,hydraulic_pump,A320neo,United,predictive_v2,100,22.99187,5,14
CMP-0193,AC-025,fuel_sensor,A350-900,United,predictive_v2,100,34.386957,19,36
CMP-0021,AC-012,vibration_sensor,B737-800,Southwest,standard,100,26.088608,10,23
CMP-0063,AC-037,fuel_sensor,A350-900,American,predictive_v2,100,27.14978,9,30
CMP-0189,AC-028,oil_pressure_valve,A320neo,American,standard,99,24.608163,8,25
CMP-0050,AC-021,fuel_sensor,B777-300,Southwest,predictive_v2,100,32.819923,17,46
CMP-0036,AC-007,temperature_probe,B737-800,Southwest,predictive_v2,100,43.228346,38,64
CMP-0053,AC-018,vibration_sensor,A350-900,FedEx,standard,100,37.365385,26,43
CMP-0073,AC-018,temperature_probe,A350-900,FedEx,standard,100,33.22,19,37
CMP-0032,AC-037,fuel_sensor,A350-900,American,predictive_v2,98,24.27234,5,24
CMP-0075,AC-028,oil_pressure_valve,A320neo,American,standard,100,21.806867,3,16
CMP-0127,AC-016,oil_pressure_valve,B787-9,FedEx,standard,99,35.4375,22,47
CMP-0172,AC-005,hydraulic_pump,A320neo,Atlas Air,predictive_v2,100,30.286344,6,44
CMP-0081,AC-016,hydraulic_pump,B787-9,FedEx,standard,100,31.967871,16,36
CMP-0188,AC-028,oil_pressure_valve,A320neo,American,standard,88,22.141667,5,19
CMP-0059,AC-036,fuel_sensor,A350-900,UPS,standard,100,28.569231,19,22
CMP-0122,AC-039,fuel_sensor,B737-800,UPS,standard,99,36.184211,21,36
CMP-0079,AC-006,oil_pressure_valve,A350-900,FedEx,standard,93,23.807531,10,20
CMP-0145,AC-004,hydraulic_pump,B787-9,Delta,predictive_v2,99,34.676364,27,40
CMP-0037,AC-037,fuel_sensor,A350-900,American,predictive_v2,100,31.254032,16,34
CMP-0080,AC-010,oil_pressure_valve,B737-800,Delta,predictive_v2,91,26.601594,11,23
CMP-0195,AC-034,hydraulic_pump,B737-800,United,predictive_v2,100,34.97786,19,54
CMP-0102,AC-022,oil_pressure_valve,B777-300,FedEx,predictive_v2,88,22.574297,4,19
CMP-0014,AC-004,oil_pressure_valve,B787-9,Delta,predictive_v2,99,30.556911,18,32
CMP-0060,AC-043,vibration_sensor,A320neo,Delta,predictive_v2,100,24.36036,8,22
CMP-0007,AC-025,fuel_sensor,A350-900,United,predictive_v2,99,23.978261,6,18
CMP-0164,AC-037,vibration_sensor,A350-900,American,predictive_v2,95,24.280156,6,27
CMP-0142,AC-049,fuel_sensor,A320neo,Southwest,standard,99,28.744,14,30
CMP-0130,AC-011,oil_pressure_valve,A350-900,Atlas Air,predictive_v2,100,37.748988,30,43
CMP-0090,AC-020,vibration_sensor,A350-900,Delta,standard,95,23.216,6,18
CMP-0016,AC-021,oil_pressure_valve,B777-300,Southwest,predictive_v2,98,28.449219,10,38
CMP-0055,AC-017,fuel_sensor,A350-900,Southwest,predictive_v2,100,34.248963,22,39
CMP-0086,AC-006,vibration_sensor,A350-900,FedEx,standard,99,29.914397,12,41
CMP-0095,AC-047,vibration_sensor,A320neo,American,predictive_v2,98,27.017391,9,33
CMP-0108,AC-008,oil_pressure_valve,B777-300,FedEx,standard,99,28.336032,13,34
CMP-0066,AC-012,hydraulic_pump,B737-800,Southwest,standard,99,34.066667,19,43
CMP-0005,AC-027,hydraulic_pump,B777-300,UPS,standard,99,40.399194,32,51
CMP-0099,AC-036,hydraulic_pump,A350-900,UPS,standard,99,25.915929,12,26
CMP-0126,AC-028,temperature_probe,A320neo,American,standard,100,25.757463,10,32
CMP-0011,AC-006,vibration_sensor,A350-900,FedEx,standard,99,33.365217,19,37
CMP-0161,AC-012,hydraulic_pump,B737-800,Southwest,standard,99,31.898678,18,33
CMP-0160,AC-040,hydraulic_pump,A320neo,Southwest,standard,94,26.431718,7,30
CMP-0087,AC-018,temperature_probe,A350-900,FedEx,standard,100,41.121094,28,58
CMP-0169,AC-048,fuel_sensor,A320neo,United,predictive_v2,91,23.204724,8,21
CMP-0144,AC-039,fuel_sensor,B737-800,UPS,standard,94,21.45,9,22
CMP-0113,AC-000,hydraulic_pump,A320neo,Southwest,predictive_v2,100,35.725,28,51
CMP-0025,AC-024,fuel_sensor,B737-800,FedEx,standard,100,27.150735,8,38
CMP-0158,AC-022,fuel_sensor,B777-300,FedEx,predictive_v2,93,23.673228,7,28
CMP-0120,AC-044,hydraulic_pump,B737-800,UPS,predictive_v2,98,23.645833,10,19
CMP-0089,AC-017,temperature_probe,A350-900,Southwest,predictive_v2,100,34.559524,27,41
CMP-0196,AC-045,vibration_sensor,B737-800,Southwest,standard,100,27.207547,10,32
CMP-0114,AC-038,hydraulic_pump,A320neo,United,standard,100,31.110236,16,37
CMP-0009,AC-047,hydraulic_pump,A320neo,American,predictive_v2,100,39.921348,33,54
CMP-0190,AC-028,oil_pressure_valve,A320neo,American,standard,94,21.461538,3,15
CMP-0002,AC-043,hydraulic_pump,A320neo,Delta,predictive_v2,97,22.853175,4,27
CMP-0105,AC-000,fuel_sensor,A320neo,Southwest,predictive_v2,100,35.835125,30,48
CMP-0159,AC-021,oil_pressure_valve,B777-300,Southwest,predictive_v2,98,25.349593,6,30
CMP-0031,AC-038,hydraulic_pump,A320neo,United,standard,96,39.384615,32,57
CMP-0042,AC-033,temperature_probe,B737-800,Southwest,predictive_v2,99,39.823755,31,55
CMP-0062,AC-012,temperature_probe,B737-800,Southwest,standard,98,23.29368,2,27
CMP-0151,AC-016,vibration_sensor,B787-9,FedEx,standard,100,34.681818,21,48
CMP-0177,AC-014,vibration_sensor,A350-900,FedEx,predictive_v2,98,28.123457,18,28
CMP-0096,AC-045,temperature_probe,B737-800,Southwest,standard,92,21.921569,7,18
CMP-0176,AC-028,temperature_probe,A320neo,American,standard,98,25.762238,14,32
CMP-0117,AC-046,hydraulic_pump,B737-800,Delta,predictive_v2,99,32.387833,19,47
CMP-0153,AC-035,vibration_sensor,A320neo,UPS,predictive_v2,100,38.011583,22,60
CMP-0078,AC-049,temperature_probe,A320neo,Southwest,standard,99,23.739669,7,22
CMP-0181,AC-015,oil_pressure_valve,A320neo,Delta,standard,100,35.226087,22,37
CMP-0187,AC-000,hydraulic_pump,A320neo,Southwest,predictive_v2,99,42.520661,40,46
CMP-0077,AC-012,oil_pressure_valve,B737-800,Southwest,standard,97,32.782051,11,47
CMP-0057,AC-016,fuel_sensor,B787-9,FedEx,standard,99,24.174274,5,25
CMP-0026,AC-011,oil_pressure_valve,A350-900,Atlas Air,predictive_v2,89,20.82996,3,18
CMP-0029,AC-039,oil_pressure_valve,B737-800,UPS,standard,100,34.357692,25,40
CMP-0132,AC-047,fuel_sensor,A320neo,American,predictive_v2,100,35.782007,37,48
CMP-0163,AC-035,fuel_sensor,A320neo,UPS,predictive_v2,97,37.661224,23,58
CMP-0147,AC-008,oil_pressure_valve,B777-300,FedEx,standard,100,32.219697,20,39
CMP-0100,AC-017,oil_pressure_valve,A350-900,Southwest,predictive_v2,88,19.485714,4,17
CMP-0038,AC-034,oil_pressure_valve,B737-800,United,predictive_v2,100,32.040359,13,44
CMP-0192,AC-037,oil_pressure_valve,A350-900,American,predictive_v2,98,26.70696,15,33
CMP-0045,AC-016,vibration_sensor,B787-9,FedEx,standard,100,28.534884,12,27
CMP-0015,AC-047,vibration_sensor,A320neo,American,predictive_v2,100,37.220339,28,42
CMP-0152,AC-019,oil_pressure_valve,B737-800,FedEx,standard,99,23.376106,6,19
CMP-0085,AC-021,oil_pressure_valve,B777-300,Southwest,predictive_v2,99,22.532075,8,15
CMP-0170,AC-012,vibration_sensor,B737-800,Southwest,standard,100,28.850202,16,24
CMP-0001,AC-000,fuel_sensor,A320neo,Southwest,predictive_v2,98,26.41791,10,32
CMP-0168,AC-009,hydraulic_pump,B787-9,Delta,standard,99,31.580247,16,38
CMP-0049,AC-005,hydraulic_pump,A320neo,Atlas Air,predictive_v2,100,22.893701,7,28
CMP-0076,AC-016,hydraulic_pump,B787-9,FedEx,standard,100,35.474654,26,31
CMP-0133,AC-028,vibration_sensor,A320neo,American,standard,97,26.040486,6,26
CMP-0178,AC-029,oil_pressure_valve,B787-9,United,standard,100,31.616,29,26
CMP-0139,AC-024,temperature_probe,B737-800,FedEx,standard,100,27.909483,13,27
CMP-0162,AC-002,oil_pressure_valve,A320neo,United,predictive_v2,100,32.476563,25,38
CMP-0047,AC-045,hydraulic_pump,B737-800,Southwest,standard,95,26.882096,7,32
CMP-0004,AC-006,hydraulic_pump,A350-900,FedEx,standard,99,33.123506,15,51
CMP-0064,AC-039,temperature_probe,B737-800,UPS,standard,99,35.049774,23,37
CMP-0143,AC-039,hydraulic_pump,B737-800,UPS,standard,100,33.393822,19,41
CMP-0171,AC-044,fuel_sensor,B737-800,UPS,predictive_v2,96,25.825726,9,23
CMP-0124,AC-018,fuel_sensor,A350-900,FedEx,standard,100,42.655172,42,65
CMP-0008,AC-012,temperature_probe,B737-800,Southwest,standard,99,35.252747,30,48
CMP-0074,AC-026,oil_pressure_valve,B787-9,Delta,predictive_v2,97,27.296137,11,27
CMP-0091,AC-020,oil_pressure_valve,A350-900,Delta,standard,97,23.384314,5,28
CMP-0093,AC-015,vibration_sensor,A320neo,Delta,standard,100,37.176724,27,49
CMP-0111,AC-033,oil_pressure_valve,B737-800,Southwest,predictive_v2,100,37.468992,29,50
CMP-0167,AC-007,vibration_sensor,B737-800,Southwest,predictive_v2,100,33.179104,24,44
CMP-0131,AC-035,oil_pressure_valve,A320neo,UPS,predictive_v2,97,25.239437,8,28
CMP-0083,AC-037,temperature_probe,A350-900,American,predictive_v2,97,25.102564,11,27
CMP-0068,AC-002,vibration_sensor,A320neo,United,predictive_v2,98,30.934959,14,41
CMP-0119,AC-033,hydraulic_pump,B737-800,Southwest,predictive_v2,98,32.265625,18,44
CMP-0116,AC-015,fuel_sensor,A320neo,Delta,standard,97,25.619608,6,36
CMP-0179,AC-040,vibration_sensor,A320neo,Southwest,standard,98,24.38326,5,25
CMP-0067,AC-039,fuel_sensor,B737-800,UPS,standard,100,33.72314,15,45
CMP-0094,AC-041,temperature_probe,A350-900,UPS,standard,100,23.263393,6,21
CMP-0154,AC-049,hydraulic_pump,A320neo,Southwest,standard,99,26.110701,12,32
CMP-0146,AC-025,temperature_probe,A350-900,United,predictive_v2,96,28.723022,14,36
CMP-0039,AC-028,hydraulic_pump,A320neo,American,standard,98,22.721374,6,25
CMP-0071,AC-005,fuel_sensor,A320neo,Atlas Air,predictive_v2,99,32.370079,20,42
CMP-0034,AC-020,oil_pressure_valve,A350-900,Delta,standard,100,26.553957,15,31
CMP-0121,AC-035,temperature_probe,A320neo,UPS,predictive_v2,100,29.280702,8,40
