AIRCRAFT_ID,ANNUAL_MAINTENANCE_COST,UNPLANNED_EVENTS,WARNING_EVENTS,AVG_SEVERITY,COST_TIER
AC-025,3452000,93,193,29.906018,High
AC-022,1416500,32,104,25.40396,High
AC-014,1408500,39,74,33.135776,High
AC-029,2102500,63,89,30.263576,High
AC-024,1781500,40,135,28.080564,High
AC-027,1092500,32,51,40.399194,High
AC-032,1093500,25,78,26.772346,High
AC-010,418500,11,23,26.601594,High
AC-015,2654000,68,167,32.416413,High
AC-046,1514500,41,86,34.237996,High
AC-016,4793500,130,260,30.588025,High
AC-045,1677500,40,116,26.290387,High
AC-004,3081500,89,144,32.416272,High
AC-042,591500,15,37,32.852814,High
AC-000,3719000,108,177,34.95884,High
AC-037,4662000,110,329,27.801976,High
AC-035,2574000,61,186,32.397638,High
AC-001,172000,2,21,22.21028,High
AC-048,935000,23,57,23.668883,High
AC-039,6824000,189,361,33.799107,High
AC-028,3221500,73,235,23.851233,High
AC-034,1353000,32,98,33.651822,High
AC-038,1734500,48,94,35.29572,High
AC-003,288500,6,22,24.121212,High
AC-017,2395500,65,133,29.15261,High
AC-002,3983500,109,221,34.451744,High
AC-012,4497000,114,283,30.045547,High
AC-006,2862000,71,188,27.492172,High
AC-044,1755000,42,121,27.158487,High
AC-008,2387000,61,148,30.16715,High
AC-033,3626000,100,197,36.865213,High
AC-020,1105000,26,77,24.455939,High
AC-013,2092500,56,121,32.883221,High
AC-030,1382000,35,90,33.561845,High
AC-047,5367500,155,262,35.124755,High
AC-009,1942500,50,117,31.672611,High
AC-023,663000,17,42,36.845361,High
AC-011,4840000,133,261,31.924942,High
AC-043,1041000,21,88,22.712274,High
AC-040,1967500,48,135,28.426791,High
AC-019,1079500,29,61,28.190476,High
AC-026,1037000,27,63,28.155419,High
AC-007,2481500,67,143,34.627321,High
AC-036,2270000,59,131,26.76255,High
AC-041,1115500,26,78,25.596515,High
AC-005,3760000,97,229,28.888252,High
AC-049,2110000,53,132,25.908948,High
AC-018,6155000,173,320,38.718112,High
AC-021,2138000,50,149,26.903352,High
AC-031,615000,15,43,31.595041,High
