component_id,aircraft_id,component_type,install_date,expected_life_hours,maintenance_protocol
CMP-0000,AC-005,fuel_sensor,2023-04-02,12736,predictive_v2
CMP-0001,AC-000,fuel_sensor,2023-05-20,23957,predictive_v2
CMP-0002,AC-043,hydraulic_pump,2023-12-08,9841,predictive_v2
CMP-0003,AC-021,vibration_sensor,2023-07-29,11730,predictive_v2
CMP-0004,AC-006,hydraulic_pump,2022-02-07,13146,standard
CMP-0005,AC-027,hydraulic_pump,2020-07-23,20970,standard
CMP-0006,AC-016,fuel_sensor,2023-08-23,17891,standard
CMP-0007,AC-025,fuel_sensor,2023-06-09,13906,predictive_v2
CMP-0008,AC-012,temperature_probe,2021-06-04,10188,standard
CMP-0009,AC-047,hydraulic_pump,2020-04-28,17118,predictive_v2
CMP-0010,AC-025,temperature_probe,2022-02-22,21942,predictive_v2
CMP-0011,AC-006,vibration_sensor,2022-04-01,8467,standard
CMP-0012,AC-037,vibration_sensor,2023-01-15,22922,predictive_v2
CMP-0013,AC-015,vibration_sensor,2022-06-15,21986,standard
CMP-0014,AC-004,oil_pressure_valve,2022-09-26,17553,predictive_v2
CMP-0015,AC-047,vibration_sensor,2020-11-02,21749,predictive_v2
CMP-0016,AC-021,oil_pressure_valve,2022-12-09,11411,predictive_v2
CMP-0017,AC-009,temperature_probe,2022-05-06,22849,standard
CMP-0018,AC-042,fuel_sensor,2021-07-09,16864,predictive_v2
CMP-0019,AC-048,hydraulic_pump,2023-08-15,12704,predictive_v2
CMP-0020,AC-037,fuel_sensor,2022-03-07,9998,predictive_v2
CMP-0021,AC-012,vibration_sensor,2023-01-09,14459,standard
CMP-0022,AC-040,fuel_sensor,2021-11-09,13603,standard
CMP-0023,AC-032,temperature_probe,2022-12-20,10589,standard
CMP-0024,AC-049,hydraulic_pump,2023-07-17,21205,standard
CMP-0025,AC-024,fuel_sensor,2023-06-28,17160,standard
CMP-0026,AC-011,oil_pressure_valve,2023-10-26,9697,predictive_v2
CMP-0027,AC-029,temperature_probe,2022-03-13,24413,standard
CMP-0028,AC-037,vibration_sensor,2022-07-31,16220,predictive_v2
CMP-0029,AC-039,oil_pressure_valve,2021-09-13,21323,standard
CMP-0030,AC-028,oil_pressure_valve,2023-06-28,15792,standard
CMP-0031,AC-038,hydraulic_pump,2020-04-10,9647,standard
CMP-0032,AC-037,fuel_sensor,2023-05-29,16862,predictive_v2
CMP-0033,AC-025,hydraulic_pump,2023-06-12,15832,predictive_v2
CMP-0034,AC-020,oil_pressure_valve,2023-01-12,8918,standard
CMP-0035,AC-011,oil_pressure_valve,2022-05-06,9910,predictive_v2
CMP-0036,AC-007,temperature_probe,2020-02-10,18377,predictive_v2
CMP-0037,AC-037,fuel_sensor,2022-04-13,10674,predictive_v2
CMP-0038,AC-034,oil_pressure_valve,2022-07-21,15739,predictive_v2
CMP-0039,AC-028,hydraulic_pump,2023-10-07,21861,standard
CMP-0040,AC-036,temperature_probe,2022-12-10,23978,standard
CMP-0041,AC-017,hydraulic_pump,2023-03-17,11073,predictive_v2
CMP-0042,AC-033,temperature_probe,2021-01-25,18199,predictive_v2
CMP-0043,AC-024,vibration_sensor,2022-09-17,18552,standard
